"Metric","Section","metric_key","TC-01","TC-02","TC-03","TC-04","TC-05","TC-06","TC-07","TC-08","TC-09","TC-10","TC-11","TC-12","TC-13","TC-14","TC-15","TC-16","WB_TC-01","WB_TC-02","WB_TC-03","WB_TC-04","WB_TC-05","WB_TC-06","WB_TC-07","WB_TC-08","WB_TC-09","WB_TC-10","WB_TC-11","WB_TC-12","WB_TC-13","WB_TC-14","WB_TC-15","WB_TC-16"
"Contaminant","0. Output Summary","SUM_contaminant","Perfluorooctane Sulfonate (PFOS)","Perfluorooctane Sulfonate (PFOS)","Perfluorooctane Sulfonate (PFOS)","TCE","TCE","Perfluorooctane Sulfonate (PFOS)","UVAOP Quench (Add-on)","UVAOP Quench (Add-on)","Other","Other","Other","Other","Other","Other","Other","Other","","","","","","","","","","","","","","","",""
"System Size Category","0. Output Summary","SUM_system_size","small","small","medium","small","small","small","small","small","small","medium","medium","small","small","medium","medium","medium","","","","","","","","","","","","","","","",""
"Technology","0. Output Summary","SUM_technology","GAC","GAC","GAC","GAC","GAC","GAC","GAC","GAC","GAC","GAC","GAC","GAC","GAC","GAC","GAC","GAC","","","","","","","","","","","","","","","",""
"Design Type","0. Output Summary","SUM_design_type","Pressure","Pressure","Pressure","Pressure","Pressure","Pressure","Pressure","Pressure","Pressure","Pressure","Pressure","Pressure","Pressure","Pressure","Pressure","Pressure","","","","","","","","","","","","","","","",""
"Design Flow","0. Output Summary","SUM_design_flow","0.124","0.740","7.365","0.124","0.740","0.740","0.124","0.740","0.124","1.000","10.000","0.500","0.124","1.000","1.000","5.000","","","","","","","","","","","","","","","",""
"Average Flow","0. Output Summary","SUM_average_flow","0.035","0.251","3.200","0.035","0.251","0.251","0.035","0.251","0.099","0.800","8.000","0.400","0.099","0.800","0.800","4.000","","","","","","","","","","","","","","","",""
"# of treatment trains","0. Output Summary","SUM_n_trains","2","1","7","2","2","2","1","1","2","3","7","2","2","4","3","10","","","","","","","","","","","","","","","",""
"# of contactors in series","0. Output Summary","SUM_n_in_series","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","",""
"# of contactors","0. Output Summary","SUM_n_contactors","4","2","16","2","2","2","1","1","2","4","9","2","2","5","4","13","","","","","","","","","","","","","","","",""
"Total EBCT","0. Output Summary","SUM_ebct_total","20.0","20.0","20.0","7.5","7.5","20.0","4.0","4.0","7.5","7.5","7.5","10.0","10.0","20.0","7.5","20.0","","","","","","","","","","","","","","","",""
"EBCT per contactor","0. Output Summary","SUM_ebct_per_contactor","10.0","10.0","10.0","7.5","7.5","20.0","4.0","4.0","7.5","7.5","7.5","10.0","10.0","20.0","7.5","20.0","","","","","","","","","","","","","","","",""
"Carbon life","0. Output Summary","SUM_carbon_life","41.1","34.6","26.9","41.1","34.1","69.2","12.0","12.0","8.7","8.7","8.7","11.6","11.6","23.3","8.7","23.2","","","","","","","","","","","","","","","",""
"Bed depth","0. Output Summary","SUM_bed_depth","6.0","6.7","6.9","4.5","6.7","5.8","4.8","6.3","4.5","7.0","7.0","7.0","6.0","6.6","7.0","7.0","","","","","","","","","","","","","","","",""
"Vessel geometry","0. Output Summary","SUM_vessel_geometry","upright","upright","upright","upright","upright","basin","upright","upright","upright","upright","upright","upright","upright","upright","upright","upright","","","","","","","","","","","","","","","",""
"Height (straight)","0. Output Summary","SUM_height_straight","9.5","11.0","11.0","7.5","11.0","6.0","8.0","10.0","7.5","11.0","11.0","11.0","9.5","10.5","11.0","11.0","","","","","","","","","","","","","","","",""
"Diameter","0. Output Summary","SUM_diameter","3.5","11.5","13.5","3.5","7.0","2.0","3.5","7.5","3.5","6.5","13.5","6.5","3.5","9.5","6.5","13.0","","","","","","","","","","","","","","","",""
"Component level","0. Output Summary","SUM_component_level","","","","","","","","","fully automated","fully automated","fully automated","fully automated","fully automated","fully automated","fully automated","fully automated","","","","","","","","","","","","","","","",""
"System automation","0. Output Summary","SUM_system_automation","","","","","","","","","fully automated","fully automated","fully automated","fully automated","fully automated","fully automated","fully automated","fully automated","","","","","","","","","","","","","","","",""
"Retrofit (operational modification)?","0. Output Summary","SUM_retrofit","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","","","","","","","","","","","","","","","",""
"New carbon life after retrofit","0. Output Summary","SUM_new_carbon_life","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","","","","","","","","","","","","","","","",""
